Name,3I GROUP  ,ABERDEEN ASSET MAN.  ,ACKERMANS & VAN HAAREN  ,AMP  ,ASX  ,ACOM  ,AMERICAN EXPRESS  ,BANK OF NEW YORK MELLON  ,BLACKROCK  ,CI FINANCIAL  ,CLOSE BROTHERS GROUP  ,CIE.NALE.A PTF.  ,CAPITAL ONE FINL.  ,CHALLENGER FINL.SVS.GP.  ,CHARLES SCHWAB  ,CHINA EVERBRIGHT  ,COMPUTERSHARE  ,CREDIT SAISON  ,DAIWA SECURITIES GROUP  ,EURAZEO  ,EATON VANCE NV.  ,EQUIFAX  ,FRANKLIN RESOURCES  ,GAM HOLDING  ,GBL NEW  ,GOLDMAN SACHS GP.  ,ICAP  ,IGM FINL.  ,INDUSTRIVARDEN 'A'  ,INTERMEDIATE CAPITAL GP.  ,KINNEVIK 'B'  ,INVESTOR 'B'  ,LEGG MASON  ,MAN GROUP  ,MARFIN INV.GP.HDG.  ,MACQUARIE GROUP  ,MITSUB.UFJ LSE.& FINANCE  ,MIZUHO SECURITIES  ,MOODY'S  ,MORGAN STANLEY  ,NOMURA HDG.  ,ORIX  ,PARGESA 'B'  ,PROVIDENT FINANCIAL  ,PERPETUAL  ,RATOS 'B'  ,SCHRODERS  ,SLM  ,SOFINA  ,STATE STREET  ,T ROWE PRICE GP.  ,TD AMERITRADE HOLDING  ,WENDEL  
11/27/08,160.7,215.3,1694.3,34.3,706.1,87.3,531.8,1717.3,883,1089.6,4222.1,443.8,649.1,79.4,4997.1,470.6,4491.2,497.7,202.7,2170.5,27260.1,3648.1,1688061,1137.3,691.7,108.7,600,1367.7,942.4,367.7,290.3,1035.4,637.4,824.3,418,454.5,69.2,146.3,178.8,225.4,167.2,815.9,461,7491.4,502.2,516.2,23313.9,1187.1,1148.3,10756,4119.6,805.5,227.6
11/28/08,151.4,229.3,1673.9,34.3,736,87.8,555.9,1731.7,890,1193.8,4122.8,456.6,645.2,79.4,5060.6,479.1,4624.6,508.1,209.6,2366,29665,3844.4,1708593,1176.4,715.8,112.2,623.9,1446.6,906.2,384.5,286.3,1008.8,656.4,842.8,422.4,456.9,66.2,148.6,182.2,229.3,169.1,844.5,487.2,7739.7,578.2,510.3,24745.4,1158.2,1129.8,11142.3,4251.3,818.5,225.1
12/1/08,145,224.2,1627.5,33.6,727.4,85.5,468.4,1481.7,757.9,1140.5,4014.9,436.4,508.7,76.5,4293.1,501.1,4596.5,485.8,213,2325.2,24327.8,3345.9,1447592,1109.5,681.8,93.4,595.2,1400.5,851.8,355.3,277.1,953.5,543.5,780.6,416.6,463.4,66.4,141.6,158.1,176.4,166.7,880.3,464.2,7635.9,567.3,486.5,22788,918,1053.1,9374.8,3523.1,688,205.1
12/2/08,145.6,232.5,1602.3,33.4,716.8,81.7,495.1,1555.7,802.5,1108.5,4027.8,428.9,549.2,71.2,4472.5,486.4,4322.8,437.4,196.3,2209.1,25491.4,3509.1,1549405,1085.9,698.6,92.4,619.7,1380.8,891.7,365.1,282.4,988.9,619.2,806.6,400.6,403.2,62.9,138.6,171.1,187.1,150.4,817.3,439.1,7288.4,527.3,480.5,22831.8,936.9,1063.3,9771.7,3692.1,732.3,217.5
12/3/08,143.8,229.3,1593,33.6,728.8,79,521.5,1696.1,862.3,1087.2,4055.9,437.4,592.3,72.4,4682.3,510.9,4610.5,455.8,196.3,2164.1,27710.1,3531.7,1660217,1095.9,713.9,98,640.4,1412.8,910.7,361.4,288.9,993.4,614.8,860.4,394.8,424.2,75.4,140.9,180.1,215.3,151.9,748.6,449.5,7121.4,581.8,495.4,22495.8,950.7,1048.9,9684.3,3874.8,775.4,213.9
12/4/08,131.1,239.5,1598.5,33.2,742,75.5,497,1635.9,819.4,1088,3945.8,447.7,581.1,68.2,4530.5,516.4,4764.9,434.2,183.4,2120.4,27554.9,3412.4,1627873,1094.7,721.2,96,607.4,1338.3,919.8,347,283.7,1000,599.2,907.5,378.8,435.4,75.7,132.4,176.5,232.2,144.3,641.3,454.2,7004.1,592.5,493.4,22641.9,885.3,1056.3,9874.9,3914.6,720.6,216.3
12/5/08,125.2,231.2,1523.9,32.9,756.3,74.6,519.4,1726.5,908.4,1124.1,3978.2,436.3,613.5,71.5,5071.6,528.6,4807,404.7,197.6,2064.4,30285.6,3531.7,1738405,991.2,687.1,100.5,626.6,1372.5,882.6,334.6,270.6,962.4,661.1,879.7,362.9,462.8,74.9,129.3,185.8,244.4,150.2,644.1,420.8,7040.2,552,479.5,21794.7,955.7,1049.4,10658.1,4325.9,790.2,199.9
12/8/08,131.6,244.6,1594.7,33.7,780.3,75.5,582.8,1762.6,977.9,1143.8,3971.7,404.7,643.7,75.9,5356,598.9,4905.3,423,198.8,2042.2,34459.2,3675.3,1843873,1146.2,710,109.6,643.6,1380.8,996.8,359.7,292.9,1046.5,703.7,941.9,380.3,460,74.7,138.6,194.5,253.4,155.1,572.6,464.7,7022.1,614.4,509.3,23343.1,1075.2,1125.7,11608,4553.3,776,224.4
12/9/08,130.9,252.2,1597.4,33.6,765.9,77.3,555.4,1583.8,942.4,1107.7,4077.5,407.8,616.5,75,5113,599.5,4975.4,467.4,211.7,2031.1,34288.5,3658.6,1743186,1153.9,720.3,103.4,638.3,1402.7,1078.3,345.8,313.9,1079.6,675.7,971.3,380.3,462.3,82.3,141.6,186.4,232.7,175.8,605.5,475.7,7324.5,627.1,537,23226.2,1094.1,1124.3,11060.3,4241.4,787.7,229.1
12/10/08,122.8,260.5,1513.7,33.5,775.5,77.1,514.2,1645.7,939.6,1111.8,4161.7,411,601.5,78.5,5104.7,642.9,5052.6,508.1,207.4,2127.4,35328,3691.9,1760905,1140.9,722,101.6,648.9,1358.5,1069.3,350.5,321.8,1073,725.2,1008.3,370.1,469.2,87.1,145.5,188.1,226.9,172.3,677.1,444.6,7369.6,673.3,541,25388.2,1177.1,1086.4,11049.7,4279.9,830.8,231.8
12/11/08,122.5,254.8,1436.8,33,763.7,79.9,480.1,1547.1,840.1,1138.1,4302,403.6,522.2,87.6,4687.9,636.8,4940.4,552.1,216.8,2126.8,31511.3,3571,1659374,1150.9,719.2,99.1,667,1319.5,1024,348,316.5,1075.2,661.8,977.2,370.1,461.5,103.8,151.7,177.6,213.6,176.5,744.3,439.1,7473.4,611.8,551.9,26279.2,1024.9,1085.9,10258.5,3950.6,795.1,226.3
